Altium Designer Pick and Place Locations
C:\Users\mblank\Desktop\Stuff\AltiumTests\YaSIf\YaSIf\Production\Pick Place for PCB(JLC_SMT).csv

========================================================================================================================
File Design Information:

Date:       20.03.23
Time:       15:30
Revision:   41c8b371c5ccf673c086dfe6762fc99ed18f3a2a
Variant:    JLC_SMT
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"J1","TopLayer","17.5000","33.1865","180"
"C30","TopLayer","27.2500","11.7500","90"
"C23","TopLayer","41.1270","29.0000","180"
"R13","TopLayer","58.5000","29.5000","270"
"R11","TopLayer","58.5000","32.5000","90"
"C22","TopLayer","56.7500","28.7500","270"
"R10","TopLayer","55.0309","9.7129","90"
"Q1","TopLayer","54.8730","12.6270","90"
"C13","TopLayer","24.2500","11.5000","270"
"Y1","TopLayer","26.0000","8.5000","0"
"U7","TopLayer","64.0000","7.0000","0"
"J5","TopLayer","7.8750","13.2500","270"
"F1","TopLayer","7.2500","21.2500","180"
"T3","TopLayer","67.0000","31.0000","0"
"R28","TopLayer","90.5000","26.7500","90"
"R27","TopLayer","92.0000","27.7500","90"
"R26","TopLayer","78.0000","23.0000","90"
"U10","TopLayer","84.0000","14.9500","180"
"U9","TopLayer","65.0000","13.0000","0"
"u8","TopLayer","52.0000","4.7500","180"
"R25","TopLayer","76.7500","32.0000","0"
"R24","TopLayer","76.0000","24.7500","90"
"R23","TopLayer","58.0000","13.0000","90"
"R22","TopLayer","52.5000","8.7500","270"
"R21","TopLayer","51.2500","8.7500","270"
"R20","TopLayer","66.6246","3.2371","0"
"R19","TopLayer","56.4270","5.1770","90"
"FB2","TopLayer","90.0000","18.0000","90"
"D5","TopLayer","79.0733","19.0850","180"
"D4","TopLayer","92.0000","23.0000","0"
"C33","TopLayer","45.7500","3.0000","180"
"C32","TopLayer","34.2500","33.5000","270"
"C31","TopLayer","31.7500","3.2500","90"
"C29","TopLayer","24.5000","5.7500","0"
"C28","TopLayer","78.0000","11.4750","270"
"C27","TopLayer","85.0000","11.0000","180"
"C26","TopLayer","26.5000","16.0000","90"
"C25","TopLayer","72.0000","11.0000","90"
"R17","TopLayer","34.0000","1.2500","0"
"R16","TopLayer","34.0000","2.5000","0"
"R12","TopLayer","34.0000","3.7500","0"
"C24","TopLayer","38.2500","2.7500","180"
"U2","TopLayer","33.2500","10.0000","90"
"U3","TopLayer","38.7500","32.7500","0"
"U4","TopLayer","23.2500","15.5000","270"
"R7","TopLayer","24.2500","2.5000","0"
"R9","TopLayer","28.0000","2.7500","180"
"R5","TopLayer","29.5000","21.2500","180"
"R8","TopLayer","24.2500","4.0000","0"
"R6","TopLayer","29.5000","20.0000","180"
"FB1","TopLayer","28.7500","29.2500","0"
"D2","TopLayer","24.0000","29.2500","90"
"C20","TopLayer","45.7500","6.2500","0"
"C1","TopLayer","25.7500","33.0000","180"
"C17","TopLayer","28.0000","4.5000","180"
"C15","TopLayer","24.9750","19.7500","0"
"C12","TopLayer","51.5000","26.7730","270"
"C21","TopLayer","58.0000","9.5000","180"
"C16","TopLayer","41.2500","10.5000","180"
"C14","TopLayer","31.5000","33.2500","270"
"C18","TopLayer","30.7500","17.2500","180"
"C19","TopLayer","46.5939","8.6606","0"
"R3","TopLayer","44.5000","29.5000","0"
"R4","TopLayer","44.0000","13.0000","0"
"C6","TopLayer","51.2500","14.0000","90"
"C10","TopLayer","38.0000","22.2500","0"
"C7","TopLayer","54.0000","21.0000","180"
"C9","TopLayer","48.7500","29.5000","90"
"C8","TopLayer","57.0000","17.0000","90"
"C11","TopLayer","38.0000","18.5000","0"
"R2","TopLayer","44.5000","27.0000","0"
"R1","TopLayer","44.5000","28.2500","0"
"C5","TopLayer","41.2500","7.8954","180"
"C4","TopLayer","41.0000","26.2500","180"
"C3","TopLayer","55.7500","24.0000","180"
"C2","TopLayer","53.5000","18.7500","180"
"U1","TopLayer","46.0000","21.0000","90"
"T1","TopLayer","67.0000","21.0000","0"
